Date,Transaction Description,Debit,Credit,Currency,CardName,Transaction,Location
12-01-2018,STIC TRAVELS PVT LTD DELHI         ,0,32256,INR,Rahul,Domestic Transactions, delhi
13-01-2018,FLIPKART INTERNET PRIVATE BANGALORE,211687,0,INR,Rahul,Domestic Transactions, bangalore
13-01-2018,SRILANKANUPGRADE KATUNAYAKE        ,6,0, EUR,Rahul,International Transactions, katunayake
14-01-2018,FLEMINGO DUTY FREE Mumbai          ,18796.99,0,INR,Rahul,Domestic Transactions, mumbai
14-01-2018,AIRTEL PAYMENT MUMBAI              ,1297,0,INR,Rahul,Domestic Transactions, mumbai
14-01-2018,AIRTEL PAYMENT CHENNAI             ,0,902,INR,Rahul,Domestic Transactions, chennai
14-01-2018,HEALTHGUARD LIMITED KATUNAYAKE     ,0,5, USD,Rahul,International Transactions, katunayake
14-01-2018,FOOT RUB BERLIN                 ,20,0, EUR,Rahul,International Transactions, berlin
17-01-2018,PAYTM NOIDA                        ,165,0,INR,Ritu,Domestic Transactions, noida
17-01-2018,BIKANERVALA GURGAON                ,325,0,INR,Ritu,Domestic Transactions, gurgaon
19-01-2018,VFS GLOBAL SERVICES PVT MUMBAI     ,1200,0,INR,Ritu,Domestic Transactions, mumbai
20-01-2018,California Games CALIFORNIA        ,100,0, USD,Rahul,International Transactions, california
21-01-2018,Amazon Seller Services BANGALORE   ,0,2155,INR,Ritu,Domestic Transactions, bangalore
22-01-2018,FLIPKART INTERNET PRIVATE BANGALORE,5000,0,INR,Rahul,Domestic Transactions, bangalore
30-01-2018,NewYorkShop NEWYORK                ,0,200, USD,Rahul,International Transactions, newyork
08-02-2018,EURO WINGS DUSSELDOR               ,5,0, EUR,Rahul,International Transactions, dusseldor
