Date,Transaction Description,Debit,Credit,Currency,CardName,Transaction,Location
30-01-2017,SRILANKANUPGRADE KATUNAYAKE        ,6,0, EUR,Raj,International Transaction, katunayake
14-01-2018,HEALTHGUARD LIMITED KATUNAYAKE     ,0,15, USD,Raj,International Transaction, katunayake
19-01-2018,FOOT RUB BERLIN                 ,26,0, EUR,Raj,International Transaction, berlin
20-01-2018,California Games CALIFORNIA        ,107,0, USD,Raj,International Transaction, california
30-01-2018,NewYorkShop NEWYORK                ,210,0, USD,Raj,International Transaction, newyork
08-02-2018,EURO WINGS DUSSELDOR               ,15,0, EUR,Raj,International Transaction, dusseldor
12-03-2018,Amazon Cash Back Jan 18            ,213,0,INR,Rahul,Domestic Transactions,none
16-03-2018,SUBWAY GURGAON                     ,0,230,INR,Rahul,Domestic Transactions, gurgaon
18-03-2018,NIMITAYA HOTEL & RESOR GURGAON     ,0,3415,INR,Rahul,Domestic Transactions, gurgaon
18-03-2018,BIRYANI PARADISE GURGAON           ,0,335,INR,Rahul,Domestic Transactions, gurgaon
19-03-2018,AIRTEL PAYMENT MUMBAI              ,880,0,INR,Rahul,Domestic Transactions, mumbai
19-03-2018,AIRTEL PAYMENT MUMBAI              , 1297,0,INR,Rahul,Domestic Transactions, mumbai
19-03-2018,AMAZON SELLER SERVICES MUMBAI      ,41499,0,INR,Raj,Domestic Transactions, mumbai
19-03-2018,ICICI PRUDENTIAL LIFE MUMBAI       ,35935,0,INR,Raj,Domestic Transactions, mumbai
20-03-2018,CARNIVAL CINEMAS NEEMU GURGAON     ,110,0,INR,Raj,Domestic Transactions, gurgaon
23-03-2018,BIRYANI PARADISE GURGAON           ,219,0,INR,Raj,Domestic Transactions, gurgaon
25-03-2018,SRS CINEMAS GURGAON                ,0,155,INR,Raj,Domestic Transactions, gurgaon
25-03-2018,SRS CINEMAS GURGAON                ,0,1440,INR,Raj,Domestic Transactions, gurgaon
25-03-2018,NIMITAYA HOTEL & RESOR GURGAON     ,3414,0,INR,Raj,Domestic Transactions, gurgaon
26-03-2018,KABI BESPOKE BOUTIQUE GURGAON      ,0,270,INR,Raj,Domestic Transactions, gurgaon
27-03-2018,PAYTM NOIDA                        ,2941,0,INR,Raj,Domestic Transactions, noida
27-03-2018,AMAZON SELLER SERVICES MUMBAI      ,416,0,INR,Raj,Domestic Transactions, mumbai
28-03-2018,www.vodafone.in MUMBAI             ,500,0,INR,Raj,Domestic Transactions, mumbai
